NFLX	Netflix
GOOGL	Google_Inc.
AAPL	Apple_Inc.
SRCL	Stericycle
YUM	Yum!_Brands
JWN	Nordstrom
AMZN	Amazon.com
FMC	FMC_Corporation
SPLS	Staples
HSIC	Henry_Schein
URBN	Urban_Outfitters
L	Loews_Corporation
HRS	Harris_Corporation
HAR	Harman_International_Industries
HAS	Hasbro
VRSN	VeriSign
MAT	Mattel
FOXA	Twenty-First_Century_Fox,_Inc.
EFX	Equifax
RHT	Red_Hat
ROST	Ross_Stores
JNJ	Johnson_&_Johnson
TSN	Tyson_Foods
AEP	American_Electric_Power_Company
EMC	EMC_Corporation
WFM	Whole_Foods_Market
FLR	Fluor_Corporation
C	Citigroup
DTE	DTE_Energy_Company
AMAT	Applied_Materials
SWKS	Skyworks_Solutions
NKE	Nike,_Inc.
NWSA	News_Corporation
PX	Praxair
CTXS	Citrix_Systems
FSLR	First_Solar
SYMC	Symantec_Corporation
DISCA	Discovery_Communications
PAYX	Paychex
K	Kellogg_Company
DISCK	Discovery_Communications
FFIV	F5_Networks
ORLY	O'Reilly_Automotive
BLL	Ball_Corporation
HCA	HCA_Holdings,_Inc.
BLK	BlackRock
MO	Altria_Group
MU	Micron_Technology
MDLZ	Mondelez_International
PSX	Phillips_66
OKE	ONEOK
UHS	Universal_Health_Services
MS	Morgan_Stanley
GMCR	Keurig_Green_Mountain
COP	ConocoPhillips
NEM	Newmont_Mining_Corporation
FOSL	Fossil_Group
NRG	NRG_Energy
FB	Facebook,_Inc.
FISV	Fiserv
CTL	CenturyLink
COH	Coach,_Inc.
PEG	Public_Service_Enterprise_Group
DOV	Dover_Corporation
ADSK	Autodesk
MSFT	Microsoft_Corporation
DLTR	Dollar_Tree
FLIR	FLIR_Systems
EXPE	Expedia,_Inc.
ADP	Automatic_Data_Processing
HES	Hess_Corporation
GILD	Gilead_Sciences
V	Visa_Inc.
WAT	Waters_Corporation
TRIP	TripAdvisor
ADI	Analog_Devices
TSCO	Tractor_Supply_Company
NTAP	NetApp
MET	MetLife
XLNX	Xilinx
CMCSA	Comcast_Corporation
DO	Diamond_Offshore_Drilling
USB	U.S._Bancorp
AIZ	Assurant
AAL	American_Airlines_Group
CAT	Caterpillar
F	Ford_Motor_Company
LB	L_Brands
TGT	Target_Corporation
LM	Legg_Mason
ORCL	Oracle_Corporation
MON	Monsanto_Company
GOOG	Google_Inc.
AKAM	Akamai_Technologies
PKI	PerkinElmer
INTC	Intel_Corporation
AN	AutoNation
ANTM	Anthem
ALXN	Alexion_Pharmaceuticals
UTX	United_Technologies_Corporation
ISRG	Intuitive_Surgical
PFE	Pfizer
EQIX	Equinix
CERN	Cerner_Corporation
CSCO	Cisco_Systems
ARG	Airgas
